!!!,sillyname,143.98649,Myth Takes,Myth Takes,2007
Kary Ng,hong kong,209.55383,With A Boy Like You,Ai Ni Bian Cheng Hen Ni,2006
Kassav',90s,335.56853,Nou La,Loko,2000
Kassav',90s,268.90404,Se Nou Manm (Live Au Zenith),An Mouvman,2009
Kathy Mattea,classic pop and rock,156.62975,Songs Of The Civil War,The Southern Soldier Boy,1991
Kathy Mattea,classic pop and rock,250.33098,The Ultimate Collection,Standing Knee Deep In a River (Dying Of Thirst),1992
Kathy Mattea,classic pop and rock,124.83873,Roses,Isle Of Inishmore - Part 1 (Air),2002
Kathy Mattea,classic pop and rock,44.64281,Coal,Sally In the Garden,2008
Keb' Mo',classic pop and rock,297.66485,Martin Scorsese Presents The Blues: Keb' Mo',Dangerous Mood,1996
Keb' Mo',classic pop and rock,236.48608,The Door,The Door,2000
Keb' Mo',classic pop and rock,242.80771,Big Wide Grin,I Am Your Mother Too,2001
Keb' Mo',classic pop and rock,194.48118,Keep It Simple,I'm Amazing,2004
Keb' Mo',classic pop and rock,190.56281,Suitcase,Still There For Me,2006
Keb'Mo',classic pop and rock,176.5873,Keb' Mo',Anybody Seen My Girl,1994
Keep Of Kalessin,black metal,340.4273,Agnen: A Journey Through The Dark,As Mist Lay Silent Beneath,1999
Keep Of Kalessin,black metal,292.41424,Armada,Many Are We,2006
Keep Of Kalessin,black metal,270.21016,Kolossus,Ascendant,2008
Kekele,world,306.96444,Congo Life,Affaire Mokuwa,2005
Kelly Clarkson,american idol,368.92689,Dance Vault Mixes - Never Again,Never Again,2007
Kelly Clarkson,american idol,230.63465,My Life Would Suck Without You,My Life Would Suck Without You,2009
Kelly Clarkson,american idol,214.5171,All I Ever Wanted,Cry,2009
Kenny G,jazz,255.7122,G Force,I've Been Missin' You,1983
Kenny G,jazz,285.98812,Duotones,Don't Make Me Wait For Love,1986
Kenny Rogers,country,188.96934,The Best Of Kenny Rogers,The Son Of Hickory Holler's Tramp,1977
Kenny Rogers,country,167.00036,Country Superstar,Reuben James,1993
Kenny Rogers,country,258.89914,Very Best Of Kenny Rogers,Love Is What We Make It,1999
Kenny Rogers,country,135.36608,The Legendary Kenny Rogers,Where Does Rosie Go?,2003
Kid Sister,soul and reggae,277.2371,Ultraviolet,Daydreaming [Jakwob Remix],2009
Kings Of Leon,american,187.92444,Holy Roller Novocaine,Wicker Chair,2003
Kings Of Leon,american,168.82893,Youth & Young Manhood,Genius,2003
Kings Of Leon,american,212.97587,Aha Shake Heartbreak,Day Old Blues,2004
Kings Of Leon,american,466.65098,Sex On Fire,Knocked Up,2007
Kings Of Leon,american,225.27955,Charmer,My Party (Kenna Remix),2007
Kings Of Leon,american,181.13261,Because Of The Times,Ragoo,2007
Kings Of Leon,american,211.40853,Fans,Woo Hoo,2007
Kitaro,new age,428.72118,Kitaro Osaka-Jo Hall Live in 1983,The Mist,1983
Kitaro,new age,173.45261,Live in Asia,Earth Born,1983
Kitaro,new age,81.50159,Heaven & Earth,Village Attack/ The Arrest,1993
Kitaro,new age,43.51955,Heaven & Earth,Trong Com,1993
Kitaro,new age,382.51057,Thinking Of You,Harmony Of The Forest,1999
Kitaro,new age,410.06975,Spiritual Garden,Quasar,2006
Kitty Wells,country,165.61587,Backline Volume 56,Makin' Believe,1990
Klaus Badelt,german,275.19955,The Time Machine,Time Travel,2002
Klaus Badelt,german,128.62649,Pirates Of The Caribbean Original Soundtrack,Moonlight Serenade,2003
Klaus Badelt,german,116.1922,Rescue Dawn,After The Fire,2007
Klaus Badelt,german,592.56118,Premonition,Severe Severing,2007
Klaus Badelt,german,203.15383,Rescue Dawn,Dieter's Theme,2007
K'Naan,soomaaliya,249.12934,The Dusty Foot On The Road,Smile,2004
K'Naan,soomaaliya,213.13261,The Dusty Foot On The Road,Is It A Myth?,2007
Kool Keith,us,222.30159,Official Space Tape,Wanna Be A Star,1996
Kool Keith,us,258.19383,Sex Style,Don't Crush It,1997
Kool Moe Dee,hip hop,336.43057,The Masters Series: Hip Hop,How Ya Like Me Now,1987
Kool Moe Dee,hip hop,272.8224,How Ya Like Me Now,Way Way Back,1987
Kool Moe Dee,hip hop,219.76771,Knowledge Is King,Knowledge Is King,1989
Kool Moe Dee,hip hop,281.33832,Greatest Hits,I Go To Work,1989
Kool Moe Dee,hip hop,397.5571,The Greatest Hits,Death Blow,1991
Koordinate Of Wonders,idm,218.74893,Irreverse,Castle of KoFW,2006
Korn,american,197.53751,I KNOW WHAT YOU DID LAST SUMMER THE ALBUM,Proud,1996
Korn,american,224.522,Issues,Hey Daddy,1999
Korn,american,231.73179,Crossing All Over Vol. 12,Make Me Bad,1999
Korn,american,185.93914,Live & Rare,Right Now,2003
Korn,american,288.49587,Untitled,Ever Be,2007
Korpiklaani,folk metal,250.8273,Karkelo,Isku PitkA$?stA$? Ilosta,2009
K-OS,hip-hop,235.04934,Exit,Heaven Only Knows,2002
K-OS,hip-hop,80.53506,Joyful Rebellion,Clap Ur Handz,2004
K-OS,hip-hop,238.23628,B-Boy Stance,B-Boy Stance,2004
K-OS,hip-hop,304.16934,Joyful Rebellion,Man I Used To Be,2004
K-OS,hip-hop,161.51465,Atlantis - Hymns for Disco.,AquaCityBoy,2006
Kraftwerk,german,531.61751,Minimum - Maximum,Autobahn (Live),2008
Kris Kristofferson,folk,232.64608,Broken Freedom Song: Live From San Francisco,Darby's Castle,1970
Kris Kristofferson,folk,194.37669,Original Album Classics,Same Old Song,1974
Kris Kristofferson,folk,183.06567,Original Album Classics,Killer Barracuda,1995
KRS-One,hip hop rnb and dance hall,136.95955,Keep Right,Freestyle Ministry (server Verbals),2004
KRS-One,hip hop rnb and dance hall,187.24526,Adventures In Emceein,Getaway,2008
Krystof,czech,301.24363,Mikrokosmos,Star,2004
Krystof,czech,262.55628,Rubikon,Prvni vesela,2006
Krystof,czech,285.67465,Rubikon,Ostravaczech,2006
Krystof,czech,222.32771,Rubikon,Svedomi,2006
KT Tunstall,uk,216.5024,Eye To The Telescope,Under The Weather,2004
KT Tunstall,uk,295.07873,Eye To The Telescope / KT Tunstall's Acoustic Extravaganza,Boo Hoo,2005
KT Tunstall,uk,308.63628,Other Side Of The World,Boo Hoo,2005
KT Tunstall,uk,282.5922,Saving My Face,Paper Aeroplane (Live From 'Drastic Fantastic' Tour),2007
L7,american,163.13424,Bricks Are Heavy,This Ain't Pleasure,1992
L7,american,198.76526,Hungry For Stink,Baggage,1994
Lady GaGa,pop,243.33016,Live Lounge 4,Poker Face,2008
Lara Fabian,french,273.13587,Carpe Diem,"RamA""ne Moi",1994
Lara Fabian,french,246.20363,Toutes Les Femmes En Moi,TLFM (Toutes Les Femmes En Moi),2009
Lara Fabian,french,229.72036,Toutes Les Femmes En Moi,L'Amour Existe Encore,2009
Las Ketchup,spanish,195.73506,Hijas Del Tomate,Tengo Un Novio TA!ntriko,2002
Las Ketchup,spanish,171.80689,Un Blodymary,Doble Bombo,2006
LeA3n Gieco,favorite argentinian,218.5922,Un Leon Demente,La MamA! De Jimmy,1999
LeA3n Gieco,favorite argentinian,266.762,Bandidos Rurales,Ruta Del Coya,2002
LeA3n Gieco,favorite argentinian,302.2624,Argentina Quiere Cantar,Buenos Aires (De Tus Amores),2002
Led Zeppelin,hard rock,145.05751,Led Zeppelin III,Immigrant Song (Album Version),1970
Led Zeppelin,hard rock,182.09914,Coda,Poor Tom (Album Version),1982
Led Zeppelin,hard rock,330.78812,Mothership,The Song Remains The Same (2007 Remastered Album Version),2007
Lee Michaels,los angeles,118.88281,Recital,Fell In Love Today,1968
Les Blaireaux,french,297.76934,En concert au Splendid,Le gardien de musA(c)e,2007
Les Hurlements D'leo,french,182.04689,13 ans de caravaning,L'accordA(c)oniste,1999
Les Malpolis,french,246.69995,PiA(c)denA(c)s,Les Amours de Nathalie,1998
Les Malpolis,french,156.02893,PiA(c)denA(c)s,Les Psys,2003
Les Malpolis,french,298.89261,This Machine Kills Fingers (Live),"Plus chA""re la vie",2009
Les Rythmes Digitales feat. Nik Kershaw,uk,297.45587,Off The Wall - Ten Years of Wall of Sound,Sometimes,1999
Lesley Gore,classic pop and rock,136.48934,60's Triple set,It's My Party,1963
Lesley Gore,classic pop and rock,140.2771,'60s Pop Number 1's,It's My Party,1963
Liars,alternative rock,259.05587,Drums Not Dead,A Visit From Drum,2006
Liars,alternative rock,136.17587,Liars,Cycle Time,2007
Liars,alternative rock,265.09016,Liars,Leather Prowler,2007
Lighthouse Family,classic pop and rock,241.8673,The Very Best Of,Ocean Drive,1995
Lighthouse Family,classic pop and rock,241.24036,The Very Best Of,Run,2001
Lightnin' Hopkins,american,70.53016,Jake Head Boogie,Everyday I Have The Blues,1999
Lily Allen,uk,264.69832,Alright_ Still (Deluxe),U Killed It,2006
Lily Allen,uk,234.1873,LDN,LDN (Warbox Original Cut Dub),2009
Lily Allen,uk,187.24526,It's Not Me_ It's You (Special Edition),22 (Acoustic),2009
Lily Allen,uk,277.83791,It's Not Me_ It's You,Everyone's At It,2009
Lily Allen Featuring Ours,uk,189.20444,22 (Vingt Deux),22 (Vingt Deux) (Feat. Ours),2009
Linkin Park,rap rock,190.30159,Hybrid Theory,Pushing Me Away (Album Version),2000
Linkin Park,rap rock,208.95302,Hybrid Theory,Crawling (Album Version),2000
Linkin Park,rap rock,189.28281,Minutes To Midnight,Given Up (Album Version),2007
Lionel Richie,soul and reggae,307.3824,Dancing On The Ceiling,Tonight Will Be Alright,1986
Lionel Richie,soul and reggae,296.09751,Just For You,In My Dreams,2004
Liquid Stranger,dubtronica,551.54893,Bliminal,We Meet at Last,2007
Liquid Stranger,dubtronica,249.49506,The Invisible Conquest,Drop Sacrifice,2007
Little Feat,classic pop and rock,228.98893,The Best Of Little Feat,Down On The Farm (2006 Remastered Edit Version),2006
LL Cool J,rock and indie,270.10567,Headsprung,Headsprung,2004
LL Cool J / Amil,rock and indie,232.14975,G.O.A.T,Hello,2000
LL Cool J / Freeway,rock and indie,264.48934,Todd Smith,What You Want,2006
Loretta Lynn,country,161.48853,The Gospel Spirit,I'd Rather Have Jesus,1965
Loretta Lynn,country,195.3171,Gold,I Can't Feel You Anymore,1994
Los Fabulosos Cadillacs,ska,187.0624,Bares y Fondas,Noches Arabes,1986
Los Fabulosos Cadillacs,ska,151.92771,El Ritmo Mundial,Twist Y Gritos (Twist & Shout),1988
Los Fabulosos Cadillacs,ska,171.10159,El SatA!nico Dr. Cadillac,El Mensaje Soy Yo,1989
Los Fabulosos Cadillacs,ska,137.06404,Los Fabulosos Cadillacs - Vol. V,Electrasonic V,1990
Los Fabulosos Cadillacs,ska,273.78893,Vasos Vacios,Matador,1993
Los Fabulosos Cadillacs,ska,239.67302,Vasos VacAos,Manuel SantillA!n_ El LeA3n (VersiA3n Reggae),1993
Los Fabulosos Cadillacs,ska,189.88363,La Marcha Del Golazo Solitario,Vos Sabes,1999
Los Fabulosos Cadillacs,ska,192.07791,Hola,La Vida,1999
Lost Boyz,american,269.7922,Love_ Peace & Nappiness,Certain Things We Do,1997
Lost Boyz,american,243.53914,Love_ Peace & Nappiness,Get Your Hustle On,1997
Lost Boyz,american,250.27873,Love_ Peace & Nappiness,What's Wrong,1997
Lou Reed,protopunk,211.66975,Live - In Concert,Sally Can't Dance,1974
Loudon Wainwright III,easy listening soundtracks and musicals,128.15628,I'm Alright,How Old Are You,1994
Loudon Wainwright III,easy listening soundtracks and musicals,190.48444,Grown Man,Human Cannonball,1995
Loudon Wainwright III,easy listening soundtracks and musicals,152.13669,High Wide & Handsome - The Charlie Poole Project,Rowena,2009
Luar Na Lubre,country-es,251.81995,lo mejor de  Luar na Lubre,Terra,2001
Luiz Bonfa,brazil,147.87873,Solo in Rio 1959,ManhAPS de Carnaval,1989
Luiz Bonfa,brazil,141.40036,Le Roi de la Bossa Nova,Santeleco,2005
Luiz Bonfa,brazil,192.78322,Le Roi de la Bossa Nova,Samba De Duas Notas,2005
Luke Vibert,electronica,418.79465,Lover's Acid,Gwithian,2005
Luke Vibert,electronica,420.15302,Mate Tron,Mate Tron,2007
Lupe Fiasco feat. GemStones and Graham Burris,hip hop rnb and dance hall,211.69587,Superstar,Dumb It Down (Live From Chicago),2007
M83,shoegaze,1071.882,M83,I'm Happy She Said,2001
M83,shoegaze,116.45342,Before The Dawn Heals Us,Let Men Burn Stars,2005
M83,shoegaze,219.24526,Saturdays = Youth,You Appearing,2008
Mad Are Sane_ The,uk,228.8322,Who?What?Why?When?Where?,Animal Crimes,1984
Madonna,pop,285.09995,Celebration,Into The Groove,1985
Madonna,pop,269.58322,Celebration,Papa Don't Preach,1986
Madonna,pop,248.55465,Bedtime Stories,Bedtime Story (Album Version),1994
Madonna,pop,320.1824,Jump,Jump [Jacques Lu Cont Edit],2006
Madonna,pop,330.94485,I'm Going To Tell You A Secret,Vogue [Live],2006
Madonna,pop,277.99465,Hard Candy,4 Minutes [Featuring Justin Timberlake And Timbaland] [Junkie XL Remix Edit],2008
Mae West,american,95.08526,I'm No Angel,Little Bar Butterfly,1996
Mae West,american,150.49098,I'm No Angel,Put It Off Until Tomorrow,2006
Mae West,american,174.49751,I'm No Angel,Imaginary Love,2006
Major Lazer / Vybz Kartel / Afrojack,dancehall,187.0624,Pon De Floor,Pon De Floor,2009
Malkit Singh,bhangra,324.51873,Hai Shava,Hai Shava,1993
Malkit Singh,bhangra,354.66404,Hai Shava,Dhol Ton Bina,1993
Malkit Singh,bhangra,430.94159,Best Of Golden Star,Holli Holi Nach Kuriye,2007
Mando Diao,suA(c)dois,182.282,Hurricane Bar,Annie's Angle,2004
Mando Diao,suA(c)dois,251.03628,Hurricane Bar,All My Senses,2004
Mando Diao,suA(c)dois,306.18077,Long Before Rock 'n Roll,Popovic,2006
Mando Diao,suA(c)dois,144.03873,Never Seen The Light Of Day -Deluxe Version,Misty Mountains,2007
MAom,icelandic,249.05098,Nightly Cares,Nightly Cares,2004
MAPtley CrA1/4e,rock and indie,201.40363,Too Fast For Love,Merry-Go-Round,1981
MAPtley CrA1/4e,rock and indie,248.55465,Music To Crash Your Car To,Wild Side,1987
MAPtley CrA1/4e,rock and indie,248.21506,Motley Crue / Rock Legends,Afraid,1997
MAPtley CrA1/4e,rock and indie,254.01424,Dr Feelgood Deluxe Edition,Get It For Free,1999
MAPtley CrA1/4e,rock and indie,260.04853,New Tattoo,Hell On High Heels,2000
Marc Lavoine,french,224.39138,Best Of 85-95,C'est La Vie,1989
Marc Lavoine,french,190.6673,C'Est Ca Lavoine,Si Tu Veux Le Savoir,1995
Marc Shaiman,composer,154.122,The Out of Towners,We're New Yorkers Now!,1999
Marc Shaiman,composer,149.86404,The Bucket List,City Slickers,2008
Marc Shaiman,composer,106.81424,The Bucket List,Blame Canada ( From: South Park ),2008
Marc Shaiman,composer,81.18812,The Bucket List,Best In LA,2008
Marco Beltrami,italian,201.61261,Flight Of The Phoenix,Nomads Alive,2004
Marco Beltrami,italian,160.78322,Flight Of The Phoenix,Franks Plea,2004
Marco Beltrami,italian,256.39138,I_ Robot,1001 Robots,2004
Marco Beltrami,italian,91.37587,Live Free Or Die Hard,Dead Hackers,2007
Marco Beltrami,italian,209.08363,Knowing,Revelations,2009
Marco Beltrami,italian,115.04281,Knowing,Not A Kid Anymore,2009
Maria Muldaur,classic pop and rock,180.87138,The L Word: Season 3,It Ain't The Meat It's The Motion,1974
Maria Muldaur,classic pop and rock,411.01016,Meet Me Where They Play The Blues,It Feels Like Rain,1999
Mariah Carey,whistle register,236.5122,Mariah Carey Mtv Unplugged Ep,Someday,1990
Mariah Carey,whistle register,652.40771,The Remixes,Anytime You Need A Friend,1993
Mariah Carey,whistle register,301.19138,Greatest Hits,Honey,1997
Mariah Carey,whistle register,286.30159,BUTTERFLY,Outside,1997
Mariah Carey,whistle register,196.93669,Charmbracelet,Clown,2002
Mariah Carey,whistle register,241.65832,The Emancipation of Mimi,Mine Again,2005
Mariah Carey,whistle register,273.52771,Bye Bye,Touch My Body,2008
Mariah Carey Featuring Da Brat & JD,whistle register,314.122,The Remixes,Honey,1997
Markscheider Kunst,russian,239.0722,Utopia,Dj,2010
Marlene Dietrich,german,158.45832,Marlene Dietrich,Laziest Gal In Town,1991
Marlene Dietrich,german,190.04036,Marlene Dietrich,When Love Dies,1991
Marlene Dietrich,german,159.34649,The Essential Marlene Dietrich,Auf Der Mundharmonika,1992
Maroon 5,rock and indie,173.66159,Songs About Jane,Harder To Breathe,2002
Maroon 5,rock and indie,177.52771,Call And Response: The Remix Album,This Love,2002
Maroon 5,rock and indie,261.61587,Call And Response: The Remix Album,She Will Be Loved,2002
Maroon 5,rock and indie,181.52444,Songs About Jane,Through With You,2002
Maroon 5,rock and indie,270.70649,Songs About Jane,Sweetest Goodbye,2002
Martha Wainwright,rock and indie,251.16689,Martha Wainwright,Who Was I Kidding,2005
Martha Wainwright,rock and indie,209.60608,Comin' Tonight,Comin' Tonight,2008
Martha Wainwright,rock and indie,287.08526,Sans Fusils_ Ni Souliers_ A Paris: Martha Wainwright's Piaf Record,C'est Toujours la MAame Histoire,2009
Martin Denny,american,144.71791,Singing Bamboos,Manila,1996
Martin Sexton,american,277.39383,Black Sheep,Caught In The Rain,1996
Martin Sexton,american,267.36281,The American,Glory Bound (LP Version),1998
Martin Sexton,american,244.4273,The American,My Maria (LP Version),1998
Martin Sexton,american,256.62649,Live Wide Open,Things You Do To Me,2000
Martin Sexton,american,352.88771,Live Wide Open,Ice Cream Man,2001
Martin Sexton,american,144.19546,Camp Holiday,White Christmas,2005
Martina McBride,country,198.42567,The Way That I Am,Heart Trouble,1993
Martina McBride,country,230.66077,Emotion,Make Me Believe,1999
Martina McBride,country,181.86404,Emotion,Anything's Better Than Feelin' The Blues,1999
Martina McBride,country,349.33506,Martina,God's Will,2003
Martina McBride,country,261.95546,Timeless,I Can't Stop Loving You,2005
Martina McBride,country,155.97669,Timeless,Thanks A Lot,2005
Martina McBride,country,160.62649,Timeless,Pick Me Up On Your Way Down,2005
Mary Black,irish folk,283.61098,25 Years/25 Songs,Katie,1987
Mary Black,irish folk,245.73342,Best of 1991-2001 Hidden Harvest,Flesh And Blood,1993
Mary Black,irish folk,293.92934,Best of 1991-2001 Hidden Harvest,Turning Away,1999
Mary Black & General Humbert,irish folk,303.75138,Holding Up Half the Sky: Voices of Celtic Women,Isle of St. Helena,1984
Massive TAPne,hip hop,220.78649,MT3,Im Club,2002
Mastodon,heavy metal,233.58649,Call of the Mastodon,Shadows That Move,2001
Mastodon,heavy metal,280.21506,Call of the Mastodon,Deep Sea Creature,2001
Mastodon,heavy metal,262.89587,Leviathan,Megalodon,2004
Mastodon,heavy metal,654.28853,Crack The Skye,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),2009
Maurice Chevalier,french,214.5171,MIMI,La Romance De La Pluie,2000
Mavado,hip hop rnb and dance hall,211.30404,Gangsta For Life: The Symphony Of David Brooks,Real McKoy Feat. Busy Signal,2007
Mavado,hip hop rnb and dance hall,255.16363,Gangsta For Life: The Symphony Of David Brooks,Sadness,2007
Max Steiner,european,24.13669,King Kong,Presenting The Eight Wonder Of The World,1993
Max Steiner,european,145.84118,King Kong,The Scarifice Ceremony,1993
Maysa,brazilian,176.37832,Maysa,Escuta_ Noel,2003
Maysa,brazilian,180.87138,Maysa,OuASSa,2008
MC5,rock and indie,172.30322,Kick Out The Jams,Intro 2/ Kick Out The Jams (LP Version),1969
MC5,rock and indie,307.722,High Time,Miss X (LP Version),1971
MC5,rock and indie,381.30893,High Time,Future/Now (LP Version),1971
Melissa Auf der Maur,rock and indie,232.6722,Out Of Our Minds,The Key,2010
Metallica,metal,252.3424,Some Kind Of Monster,Hit The Lights,1982
Metallica,metal,311.19628,Kill 'Em All,Metal Militia,1982
Metallica,metal,472.45016,Broken_ Beat & Scarred,The End Of The Line,2008
MetsatAPll,estonian,269.81832,Aio,Kui rebeneb taevas,2010
"MichA""le Arnaud",french,122.27873,Disque PathA(c),Ballade Des Oiseaux De Croix,1996
Michael Card,contemporary christian,234.78812,80's Ultimate Collection,Scandalon,1985
Michael Jackson,pop,251.66322,Love Songs,Ain't No Sunshine,1972
Michael Jackson,pop,182.7522,Hello World - The Motown Solo Collection,I Wanna Be Where You Are,1972
Michael Jackson,pop,217.96526,Gold,Morning Glow,1973
Michael Jackson,pop,192.57424,Soulsation! The 25th Anniversary Collection,Just A Little Bit Of You,1975
Michael Jackson,pop,222.37995,The Real Thing: The Jackson 5,We're Almost There,1975
Michael Jackson,pop,188.99546,The Motown Years 50,Girl You're So Together,1984
Michael Jackson,pop,281.73016,Michael Jackson: The Ultimate Collection,Dirty Diana,1987
Michael Jackson,pop,249.99138,King Of Pop,HISTORY,1995
Michael Jackson,pop,272.71791,HIStory - PAST_ PRESENT AND FUTURE - Book I,Tabloid Junkie,1995
Michael Jackson,pop,289.38404,Invincible,Heaven Can Wait,2001
Midwest Product,rock and indie,301.73995,World Series Of Love,Motivator,2003
Mighty Mighty Bosstones,ska,168.85506,Devil's Night Out,Patricia,1989
Mighty Mighty Bosstones,ska,147.46077,Devil's Night Out,Do Somethin' Crazy,1989
Mighty Mighty Bosstones,ska,211.33016,More Noise And Other Disturbances,They Came To Boston,1992
Mighty Mighty Bosstones,ska,142.73261,More Noise And Other Disturbances,Guns And The Young,1992
Miguel Migs,san francisco,284.60363,Colorful You,The One,2002
Mikey Dread,classic pop and rock,309.83791,World War III,The Jumping Master,1981
Mikey Dread,classic pop and rock,373.26322,Dub Catalogue,Two Track Dub (Dub / Instrumental Reggae Music),1982
Mikey Dread,classic pop and rock,193.12281,Rockers Vibration,Hot Cross Bun,1982
Mikey Dread,classic pop and rock,184.47628,Pave the Way,Quest for Oneness,1991
MIMS,hip hop rnb and dance hall,181.28934,Music Is My Savior,Cop It,2007
MIMS,hip hop rnb and dance hall,230.53016,Guilt,Life Of A Star,2009
Mink DeVille,classic pop and rock,166.03383,Cabretta,She's So Tough,1977
Mink DeVille,classic pop and rock,173.92281,Le Chat Bleu,Heaven Stood Still,1980
Minnie Riperton,american,212.13995,Les Fleurs & Other Favorites (Digitally Remastered),Completeness,1970
Minnie Riperton,american,224.67873,Love To Love,Lovin' You,1974
Minnie Riperton,american,197.69424,Les Fleurs & Other Favorites (Digitally Remastered),Les Fleurs,1990
Mississippi Fred McDowell,blues,226.37669,Good Morning Little School Girl,You Gotta Move,1999
Mississippi John Hurt,american,198.76526,Blues Routes Mississippi John Hurt,Coffee Blues,1966
Mississippi John Hurt,american,238.94159,The Immortal,Monday Morning Blues,1967
Mitch Ryder,rock,207.43791,American Legend,Jenny Take a Ride,2004
Mobb Deep,new york,298.00444,The Infamous,Up North Trip,1995
Mobb Deep,new york,50.15465,The Infamous,(The Grave Prelude),1995
Mobb Deep,new york,274.1024,Hell On Earth (Explicit),Hell On Earth (Front Lines),1996
Mobb Deep,new york,264.64608,Mobb Muzik (Clean Version),Where Ya Heart At,1999
Mobb Deep,new york,224.62649,Amerikaz Nightmare,Got It Twisted,2004
Mobb Deep featuring Nate Dogg,new york,195.65669,Amerikaz Nightmare,Dump,2004
Modern Lovers,alternative rock,260.62322,Live at the longbranch and more,She cracked,1976
Modeselektor,european,385.2273,In Loving Memory,We Do It Too,2002
Modeselektor,european,256.31302,Hello Mom!,Tetrispack,2005
Montserrat CaballA(c),spanish,198.13832,Hijo De La Luna,The Phantom Of The Opera/Wishing You Were Somehow Here Again,1994
Moonsorrow,black metal,356.49261,Kivenkantaja,Ukkosenjumalan poika,2001
Moonspell,black metal,318.9024,Wolfheart (re-issue + Bonus Tracks),Alma Mater,1995
Moonspell,black metal,313.46893,Second Skin,Sacred,1997
Moonspell,black metal,386.19383,Sin / Pecado,The Hanged Man,1998
Moonspell,black metal,323.7873,The Butterfly Effect,Tired,1999
Morgion,doom metal,341.68118,Morgion,Basking Under a Blacksun Dawning,1997
Moving Cloud,danish,251.92444,Welcome: Who Are You?,Coleman's No. 1 / Ton Double Fisel / Kiely Cotter's / How We Spent the Christmas,2008
Ms. Dynamite,rnb,269.81832,A Little Deeper,All I Ever,2002
Ms. Dynamite,rnb,56.13669,A Little Deeper,Natural High (Interlude),2002
Ms. Dynamite,rnb,286.32771,Judgement Days,Mr. Prime Minister,2005
Ms. Dynamite,rnb,208.5873,Judgement Days,Unbreakable,2005
Ms. Dynamite / Bounty Killer,rnb,241.37098,Put Him Out,Put Him Out,2002
Ms. Dynamite / Kymani Marley,rnb,202.21342,A Little Deeper,Seed Will Grow,2002
Mudhoney,rock and indie,166.32118,Live At El Sol,The Money Will Roll Right In,1991
Mudhoney,rock and indie,217.5473,Five Dollar Bob's Mock Cooter Stew,Between Me & You Kid (Album Version),1993
Mudhoney,rock and indie,519.13098,Tomorrow Hit Today,"Beneath The Valley Of The Underdog (Album Version + Hidden Track ""Talkin' Randy Tate's..."")",1998
Mudhoney,rock and indie,211.87873,Live At El Sol,It Is Us,2006
Mudhoney,rock and indie,159.65995,The Lucky Ones,New Meaning,2008
Mungo Jerry,uk,193.90649,The Best Of In The Summertime,It's A Secret,1995
Mungo Jerry,uk,155.24526,In The Summertime - Greatest Hits,Pushbike Song,2001
Murderdolls,rock and indie,147.51302,Beyond The Valley Of The Murderdolls,Kill Miss America (Album Version),2002
Musical Youth,birmingham,183.01342,True 80's Love,Never Gonna Give You Up,1982
MxPx,punk rock,151.24853,On The Cover,You Found Me,1995
MxPx,punk rock,215.24853,On The Cover,Drum Machine Joy,1995
MxPx,punk rock,129.88036,The Ever Passing Moment,Answer In The Question,2000
MxPx,punk rock,88.73751,The Renaissance,Time Will Tell,2001
MxPx,punk rock,183.97995,Panic,Grey Skies Turn Blue,2004
My Chemical Romance,pop and chart,57.18159,Three Cheers For Sweet Revenge,Interlude (Album Version),2004
My Chemical Romance,pop and chart,173.73995,Three Cheers For Sweet Revenge,You Know What They Do To Guys Like Us In Prison (Album Version),2004
My Chemical Romance,pop and chart,184.00608,The Black Parade,House Of Wolves (Album Version),2006
My Chemical Romance,pop and chart,154.30485,The Black Parade Is Dead!,The End. [Live In Mexico],2008
N.E.R.D.,hip hop rnb and dance hall,221.54404,Fly Or Die,Don't Worry About It (Edited),2004
N.E.R.D.,hip hop rnb and dance hall,222.6673,Seeing Sounds,Intro / Time For Some Action,2008
N.W.A.,hip hop rnb and dance hall,168.75057,Straight Outta Compton,A B***** Is A B***** (Edited),1989
N.W.A.,hip hop rnb and dance hall,165.19791,The Best Of N.W.A: The Strength Of Street Knowledge,Approach To Danger (Edited),2006
Nana Mouskouri,greek,175.12444,Songs For You,Only You,1997
Natalie Cole,jazz and blues,194.53342,Dangerous,The Gift,1985
Natalie Cole,jazz and blues,154.61832,Unforgettable: With Love,Don't Get Around Much Anymore,1991
Natalie Cole,jazz and blues,236.19873,Still Unforgettable,Busted,2008
Natalie MacMaster,folk,175.49016,In My Hands,Father John Macleod's Jig,1999
Natasha Bedingfield,english,377.25995,These Words (I Love You_ I Love You),These Words,2004
Natasha Bedingfield,english,341.41995,Love Like This,Love Like This,2008
Naughty By Nature,rock and indie,216.60689,19 Naughty III,The Hood Comes First (LP Version),1993
Naughty By Nature,rock and indie,236.95628,Nineteen Naughty Nine Nature's Fury,Ring The Alarm,1999
Naughty By Nature,rock and indie,245.65506,Icons,Swing Swang,2002
Naughty By Nature,rock and indie,330.08281,Icons,Family Tree,2002
Negura Bunget,black metal,123.66322,OM,Al Doilea Om,2006
Negura Bunget,black metal,431.72526,OM,Cunoasterea Tacuta,2006
Neil Diamond,rock,172.38159,Hot August Nights II,Song Sung Blue,1972
Neil Diamond,rock,194.40281,Play Me: The Complete Uni Studio Recordings...Plus!,Song Sung Blue,1972
Neil Diamond,rock,181.15873,The Jazz Singer Original Songs From The Motion Picture,Hey Louise,1980
